name,height,reach,dob,url
Dustin Jacoby,"6' 3""","76""","Apr 04, 1988",http://ufcstats.com/fighter-details/e4277e87a789d687
David Branch,"6' 1""","78""","Sep 26, 1981",http://ufcstats.com/fighter-details/d2c55d1d2e67773b
Johny Hendricks,"5' 9""","69""","Sep 12, 1983",http://ufcstats.com/fighter-details/0941df56f6ac954b
Mark Scanlon,"5' 9""",--,--,http://ufcstats.com/fighter-details/771b60ff889661c8
Feng Xiaocan,"5' 7""","67""","Oct 27, 2001",http://ufcstats.com/fighter-details/c940b42df95bbd28
Kitt Campbell,"6' 1""","73""","Jun 26, 1994",http://ufcstats.com/fighter-details/903ef36a6adc09a3
Daniel Acacio,"5' 8""",--,"Dec 27, 1977",http://ufcstats.com/fighter-details/1c5879330d42255f
Ron Henderson,"5' 10""",--,--,http://ufcstats.com/fighter-details/498f0d066396ec59
Kyle Bolt,"6' 2""",--,--,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
Jeff Newton,"6' 2""",--,"Dec 11, 1966",http://ufcstats.com/fighter-details/94609dd91731d428
Zelim Imadaev,"6' 0""","76""","Jan 25, 1995",http://ufcstats.com/fighter-details/7f0f171414d0a287
ChangHo Lee,"5' 8""","69""","May 09, 1994",http://ufcstats.com/fighter-details/117a06469813e4ef
James Gabert,--,--,--,http://ufcstats.com/fighter-details/fcd8b623892b9a10
Nohelin Hernandez,"5' 10""","71""","Mar 01, 1994",http://ufcstats.com/fighter-details/f97c5433c77522d3
Junya Kudo,--,--,"Mar 24, 1983",http://ufcstats.com/fighter-details/487c170da059857d
Jules Bruchez,"6' 0""",--,"Aug 16, 1977",http://ufcstats.com/fighter-details/d1dcd4e96464a53d
Korey Kuppe,"6' 5""","77""","Jan 23, 1989",http://ufcstats.com/fighter-details/780a2897055e3ee3
Carlton Minus,"5' 10""","75""","Apr 26, 1993",http://ufcstats.com/fighter-details/40d8b74488743800
Yves Jabouin,"5' 7""","68""","May 30, 1979",http://ufcstats.com/fighter-details/b4eeac608fc82f88
Jason Lambert,"6' 3""","75""","Jun 03, 1975",http://ufcstats.com/fighter-details/5be86bb2f78fef2f
Jessica Penne,"5' 5""","67""","Jan 30, 1983",http://ufcstats.com/fighter-details/c742287ed86a09bc
