name,record,height,weight,reach,stance,dob,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,url
Dave Dalgliesh,30-19-2,"6' 2""",205 lbs.,--,Orthodox,"Apr 05, 1978",:0.00,:0%,:1.85,:50%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/ddbd0d6259ce57cc
Leandro Issa,13-6-0,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 19, 1983",:2.08,:37%,:3.17,:58%,:2.38,:22%,:50%,:1.2,http://ufcstats.com/fighter-details/d1e1fdcea7c8a90a
Dustin Neace,25-21-1 (1 NC),"5' 9""",145 lbs.,"69""",,"Sep 12, 1986",:2.08,:32%,:2.66,:56%,:0.00,:0%,:0%,:1.7,http://ufcstats.com/fighter-details/e503aa5c252a1b4d
Mario Sousa,15-3-0,"6' 3""",185 lbs.,"79""",Orthodox,"Oct 20, 1996",:2.82,:50%,:2.99,:28%,:0.52,:25%,:37%,:0.5,http://ufcstats.com/fighter-details/72782745eb47161a
Cameron VanCamp,15-7-1 (1 NC),"6' 2""",155 lbs.,"74""",Switch,"Apr 27, 1993",:5.31,:47%,:6.41,:40%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/87e2468b986ebb79
Eli Aronov,6-1-0,"5' 10""",185 lbs.,"72""",Orthodox,"Jun 06, 1996",:8.92,:68%,:6.49,:38%,:12.16,:100%,:0%,:0.0,http://ufcstats.com/fighter-details/a90c200c3fbb22c4
Dominic Brown,16-23-0,"5' 11""",190 lbs.,--,,"Jun 04, 1982",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/52b3ec072ad497a4
Mark Godbeer,13-4-0,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",:3.97,:53%,:3.30,:54%,:0.00,:0%,:28%,:0.0,http://ufcstats.com/fighter-details/ad56b3f00ca38dfd
Craig Jones,0-0-0,--,205 lbs.,--,,"Jul 17, 1991",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/e947b563eb744a21
Yaotzin Meza,21-11-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Feb 04, 1981",:1.43,:41%,:1.62,:64%,:1.06,:20%,:18%,:1.4,http://ufcstats.com/fighter-details/3623bd267a2eef2e
Garrett Mueller,3-3-0,"5' 9""",135 lbs.,--,,"Jan 29, 1989",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/d0c325dfefdde31f
Tomasz Drwal,21-5-1,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",:3.29,:38%,:2.26,:57%,:3.55,:60%,:82%,:0.4,http://ufcstats.com/fighter-details/679a9054e2815943
Artenus Young,10-12-0,--,205 lbs.,--,,"Jul 16, 1980",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/8d4943a9ce9f521b
Lucas Lopes,29-19-0,"6' 2""",185 lbs.,--,,"Oct 05, 1979",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/1f70dd67ad507990
Aaron Miller,14-10-0 (1 NC),"5' 9""",145 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/a4d055f1435d6d75
Zachary Reese,9-2-0 (1 NC),"6' 4""",185 lbs.,"77""",Switch,"Mar 24, 1994",:4.24,:53%,:3.00,:45%,:2.82,:58%,:57%,:1.2,http://ufcstats.com/fighter-details/23dec7c47cb418f8
Mack Brewer,0-1-0,--,205 lbs.,--,,--,:0.00,:0%,:6.67,:36%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/106a925d947a0de9
Shamil Abdurakhimov,20-8-0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",:2.41,:44%,:3.02,:55%,:1.01,:23%,:45%,:0.1,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Melchor Manibusan,2-4-0,"5' 5""",154 lbs.,--,Southpaw,"Dec 27, 1976",:1.58,:54%,:5.79,:15%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/b6c6d1731ff00eeb
Matt Sayles,8-4-0,"5' 7""",155 lbs.,"68""",Orthodox,"Feb 21, 1994",:4.83,:41%,:2.81,:61%,:0.36,:16%,:81%,:0.7,http://ufcstats.com/fighter-details/5b8ba8f5512893b1
Joe Warren,15-6-0,"5' 6""",135 lbs.,--,Orthodox,"Oct 31, 1976",:2.15,:46%,:2.39,:52%,:6.14,:46%,:60%,:0.0,http://ufcstats.com/fighter-details/c0c1bc0766df4c00
Anthony Do,4-2-0,"5' 4""",125 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/7c9aeba0c4d4bd78
Takashi Sugiura,1-3-0,"5' 11""",225 lbs.,--,Southpaw,"May 31, 1970",:1.37,:40%,:2.08,:53%,:1.33,:66%,:0%,:0.0,http://ufcstats.com/fighter-details/06c60fc2c8dcd7bd
Victoria Leonardo,9-7-0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 16, 1990",:3.22,:38%,:4.81,:47%,:1.57,:27%,:71%,:0.0,http://ufcstats.com/fighter-details/9dedfdd91070ddd8
Marco Polo Reyes,8-7-0,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 07, 1984",:6.00,:37%,:5.52,:59%,:0.00,:0%,:46%,:0.0,http://ufcstats.com/fighter-details/edd02825c29028fe
Liana Jojua,8-5-0,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 22, 1995",:2.42,:30%,:5.32,:54%,:1.71,:66%,:50%,:1.3,http://ufcstats.com/fighter-details/eebc23626e38f5dc
Eric Bedard,6-7-0,"6' 2""",239 lbs.,--,,"Sep 11, 1984",:6.37,:35%,:8.54,:52%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/ce05955c26c3c090
Nurullo Aliev,10-0-0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",:2.43,:45%,:1.07,:58%,:2.60,:54%,:0%,:0.0,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Spike Carlyle,9-3-0,"5' 8""",145 lbs.,"71""",Switch,"May 06, 1993",:2.55,:54%,:3.85,:30%,:3.34,:36%,:57%,:0.5,http://ufcstats.com/fighter-details/be68b375707dcb85
Ross Pointon,6-17-0,"5' 8""",170 lbs.,--,Orthodox,"Feb 18, 1980",:2.62,:23%,:2.77,:58%,:1.19,:100%,:0%,:0.0,http://ufcstats.com/fighter-details/7215953cd5c6254d
Raul Castillo,7-1-0,"5' 11""",185 lbs.,--,Orthodox,--,:1.47,:48%,:3.27,:60%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/feeae92f951f49a9
Yusaku Nakamura,14-4-1,"5' 5""",145 lbs.,--,,"Jun 21, 1986",:1.72,:45%,:3.67,:55%,:0.00,:0%,:83%,:0.0,http://ufcstats.com/fighter-details/03e8df49c4a059ba
Petr Yan,19-5-0,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993",:5.12,:54%,:4.14,:58%,:1.58,:48%,:85%,:0.1,http://ufcstats.com/fighter-details/d661ce4da776fc20
Sirwan Kakai,12-5-0,"5' 5""",135 lbs.,--,Orthodox,"Oct 03, 1989",:3.57,:41%,:4.63,:62%,:4.00,:42%,:83%,:0.0,http://ufcstats.com/fighter-details/2525a853486ee670
Charlie Kohler,8-4-1,"5' 9""",155 lbs.,--,Orthodox,"Jul 16, 1976",:0.81,:33%,:4.31,:46%,:0.00,:0%,:0%,:4.0,http://ufcstats.com/fighter-details/5717efc6f271cd52
Giacomo Lemos,6-0-0,"6' 3""",247 lbs.,"75""",Orthodox,"Jun 23, 1989",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/f37822d5b3e47517
Teruto Ishihara,10-7-2,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991",:3.26,:44%,:3.63,:53%,:0.50,:16%,:30%,:0.0,http://ufcstats.com/fighter-details/88cd34d836b4ebcd
Pedro Otavio,19-8-0,"6' 3""",245 lbs.,--,Orthodox,"Dec 17, 1967",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/4512e46543b960ad
Michael Kuiper,15-5-0,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 07, 1989",:3.28,:54%,:3.62,:54%,:2.30,:55%,:79%,:0.0,http://ufcstats.com/fighter-details/b7f38813485745da
Elias Garcia,6-2-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992",:1.59,:27%,:5.05,:50%,:0.68,:14%,:33%,:1.4,http://ufcstats.com/fighter-details/ac5a7400da3a9a41
Luke Barnatt,13-4-0,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",:4.43,:36%,:3.87,:59%,:0.63,:42%,:63%,:0.4,http://ufcstats.com/fighter-details/172c2135e70f87b7
Dan Barrera,3-1-0,"5' 9""",170 lbs.,--,Orthodox,"Dec 23, 1980",:0.80,:70%,:1.20,:28%,:1.00,:8%,:0%,:0.0,http://ufcstats.com/fighter-details/f12f979b657ab876
Gabriel Benitez,23-13-0,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",:5.26,:41%,:4.49,:63%,:0.22,:50%,:55%,:0.9,http://ufcstats.com/fighter-details/436f970c9ea9169c
Stipe Miocic,20-5-0,"6' 4""",240 lbs.,"80""",Orthodox,"Aug 19, 1982",:4.67,:52%,:4.01,:52%,:1.74,:34%,:65%,:0.0,http://ufcstats.com/fighter-details/d28dee5c705991df
Alex Higley,4-3-0,"5' 10""",145 lbs.,--,,--,:0.29,:100%,:1.74,:60%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2af2d675f7d847e3
Warlley Alves,15-8-0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",:3.04,:48%,:3.95,:50%,:1.22,:50%,:62%,:0.8,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Stephan Bonnar,15-9-0,"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",:2.76,:38%,:3.01,:52%,:1.32,:40%,:60%,:1.0,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb
Jake Hadley,11-4-0,"5' 7""",135 lbs.,"70""",Southpaw,"Aug 03, 1996",:3.80,:43%,:4.16,:61%,:0.33,:11%,:54%,:1.1,http://ufcstats.com/fighter-details/60a42bf82447c919
Christian Uflacker,5-0-0,"5' 11""",170 lbs.,--,,"Aug 04, 1985",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/10ccf4ec9913cadc
Karine Gevorgyan,3-3-0,"5' 4""",125 lbs.,"63""",,"Mar 09, 1989",:1.20,:20%,:1.80,:76%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2db0c114414d4f06
Anthony Romero,8-0-0,"5' 11""",155 lbs.,"70""",Orthodox,"Feb 25, 1997",:5.87,:52%,:4.00,:65%,:2.00,:22%,:100%,:0.0,http://ufcstats.com/fighter-details/6f81399074fcdbba
Brandon Polcare,1-1-0,--,125 lbs.,--,,--,:0.43,:50%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/543cd2258f4fa339
Antonio Carlos Junior,11-5-0 (1 NC),"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",:1.95,:42%,:2.14,:52%,:3.42,:39%,:53%,:0.8,http://ufcstats.com/fighter-details/52e76bb4b3e852f3
Claudia Gadelha,18-5-0,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",:3.31,:41%,:4.57,:57%,:3.03,:42%,:58%,:0.7,http://ufcstats.com/fighter-details/ec34349e7dffcde7
Jack Hermansson,24-9-0,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 10, 1988",:5.13,:45%,:3.70,:57%,:1.50,:29%,:80%,:0.4,http://ufcstats.com/fighter-details/0a1942069c9ad6b6
Ido Pariente,13-6-0,"5' 8""",155 lbs.,--,Orthodox,"Aug 31, 1978",:0.00,:0%,:2.86,:45%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/7573d25a078b5732
Caol Uno,33-19-5,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",:1.91,:49%,:1.90,:50%,:1.95,:31%,:37%,:0.5,http://ufcstats.com/fighter-details/eb1723480fa2f96c
Mike King,5-1-0,"6' 3""",185 lbs.,--,,"Aug 04, 1983",:4.44,:58%,:1.29,:72%,:1.75,:25%,:40%,:3.5,http://ufcstats.com/fighter-details/564c2f5f9eb45d67
Christopher Lopez,9-1-0 (1 NC),"5' 10""",170 lbs.,--,,"Jan 30, 1986",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/5148a665aa527865
Rafael Rios,4-2-0,--,150 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/2f5754b48eab1486
Floyd Sword,12-3-0,"6' 0""",185 lbs.,--,Orthodox,"Aug 24, 1976",:0.78,:42%,:1.57,:40%,:0.00,:0%,:33%,:0.0,http://ufcstats.com/fighter-details/5330fe7e4c3af81c
Yanal Ashmouz,8-2-0,"5' 9""",155 lbs.,"69""",Orthodox,"Mar 31, 1995",:2.88,:50%,:4.78,:50%,:3.24,:38%,:64%,:0.0,http://ufcstats.com/fighter-details/c739c2995a275314
Dennis Bryant,5-2-0,"6' 0""",205 lbs.,--,Orthodox,"Oct 18, 1985",:10.56,:59%,:10.56,:13%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/3b17353b8002c7d0
Cynthia Calvillo,9-6-1,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987",:4.41,:38%,:4.12,:64%,:1.80,:44%,:77%,:0.8,http://ufcstats.com/fighter-details/98215d037be5bcb7
Wesley Correira,20-16-0,"6' 3""",260 lbs.,--,Orthodox,"Nov 11, 1978",:2.60,:36%,:8.80,:40%,:0.00,:0%,:90%,:0.0,http://ufcstats.com/fighter-details/4e9fb05d7e5e61b8
Brandon Thatch,11-5-0,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985",:2.70,:42%,:3.63,:52%,:1.36,:66%,:50%,:0.7,http://ufcstats.com/fighter-details/638cfec7ec559d6e
Masanori Tonooka,1-2-0,"5' 8""",185 lbs.,--,Orthodox,"May 25, 1973",:0.16,:5%,:1.09,:36%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/9de7c97e1c0d7927
Ronald Jhun,24-26-2,"5' 11""",170 lbs.,--,Orthodox,"Sep 21, 1970",:1.45,:57%,:3.01,:50%,:1.81,:100%,:100%,:0.0,http://ufcstats.com/fighter-details/b9e871af730f826c
Jeremiah Metcalf,13-7-0,"6' 1""",185 lbs.,--,Orthodox,"Jul 09, 1981",:1.74,:59%,:0.27,:60%,:4.02,:66%,:100%,:2.0,http://ufcstats.com/fighter-details/5bdcbd8dd681a257
Nikolajus Cilkinas,2-6-0,--,--,--,Orthodox,--,:0.00,:0%,:5.88,:16%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/3f3550bf126a5721
Eiji Ishikawa,29-24-3,"5' 10""",170 lbs.,--,,"Oct 12, 1979",:1.20,:29%,:4.07,:60%,:1.00,:9%,:0%,:0.0,http://ufcstats.com/fighter-details/eb89dc31949a1427
Azamat Nuftillaev,17-1-1,--,265 lbs.,--,,"Jan 01, 1994",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/b37321c0bb9e8570
Eric Schambari,15-6-0,"5' 11""",185 lbs.,--,Orthodox,"Apr 22, 1978",:1.43,:42%,:1.07,:54%,:3.00,:42%,:0%,:1.0,http://ufcstats.com/fighter-details/66e981516e2476d1
Reuben Duran,11-7-1,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",:3.19,:49%,:2.61,:50%,:0.98,:23%,:25%,:0.7,http://ufcstats.com/fighter-details/4417980b3e798abf
Carlos Mota,8-2-0,"5' 4""",125 lbs.,"69""",Orthodox,"Apr 15, 1995",:0.80,:41%,:1.13,:54%,:0.00,:0%,:50%,:1.0,http://ufcstats.com/fighter-details/b15862fcd6ded451
Linton Vassell,18-5-0 (1 NC),"6' 4""",205 lbs.,--,,"Jun 03, 1983",:3.39,:37%,:2.13,:54%,:2.46,:50%,:50%,:0.0,http://ufcstats.com/fighter-details/a148dfe3485be79d
Thomas Almeida,22-5-0,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",:4.84,:43%,:4.93,:61%,:0.17,:14%,:75%,:0.0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Marcos Conrado Jr.,5-1-0,"6' 2""",220 lbs.,--,Orthodox,"Mar 14, 1982",:1.60,:34%,:9.69,:35%,:1.84,:14%,:0%,:0.0,http://ufcstats.com/fighter-details/d450769115a193c2
Dustin Hazelett,12-7-0,"6' 1""",170 lbs.,"76""",Orthodox,"Apr 29, 1986",:2.24,:40%,:3.51,:46%,:0.55,:50%,:25%,:4.1,http://ufcstats.com/fighter-details/a149d6bc670cdb60
Luiz Azeredo,15-10-0,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",:2.16,:39%,:2.76,:57%,:1.07,:50%,:45%,:0.3,http://ufcstats.com/fighter-details/063649e21bc9d6d5
Amir Sadollah,6-5-0,"5' 10""",170 lbs.,"75""",Orthodox,"Aug 27, 1980",:4.71,:46%,:3.55,:60%,:0.57,:27%,:60%,:0.3,http://ufcstats.com/fighter-details/2650e2f846a30f64
Cedric Doumbe,2-0-0,"5' 10""",170 lbs.,--,,"Aug 13, 1992",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/5159e6ee100c717e
Cortez Coleman,13-8-0,"6' 1""",185 lbs.,--,,"Jan 28, 1982",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/ffb20ae0db47ebe6
Jamie Varner,21-11-1 (2 NC),"5' 8""",155 lbs.,"71""",Orthodox,"Oct 12, 1984",:2.92,:34%,:2.55,:58%,:3.49,:53%,:66%,:0.8,http://ufcstats.com/fighter-details/a54fc2d6fc224dc3
Ciryl Gane,13-2-0,"6' 4""",245 lbs.,"81""",Orthodox,"Apr 12, 1990",:5.26,:61%,:2.23,:61%,:0.70,:25%,:43%,:0.6,http://ufcstats.com/fighter-details/787bb1f087ccff8a
Jim Mullen,0-2-0,"6' 1""",215 lbs.,--,Southpaw,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/1a49e0670dfaca31
Israel Delgado,0-2-0,"5' 10""",155 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/01f4bcd26ac08ad5
Jaimelene Nievera,7-4-0,"5' 5""",125 lbs.,--,Orthodox,"Oct 28, 1984",:1.67,:53%,:8.73,:33%,:1.79,:16%,:0%,:0.0,http://ufcstats.com/fighter-details/3edf45e1717fa764
Jason DeLucia,33-21-1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/6ceff86fae4f6b3b
David Bielkheden,24-12-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",:1.11,:57%,:1.64,:54%,:2.65,:63%,:14%,:0.0,http://ufcstats.com/fighter-details/1efa064872f089d0
Darrell Horcher,13-4-0,"5' 10""",155 lbs.,"70""",Southpaw,"Jul 28, 1987",:2.05,:44%,:4.21,:39%,:0.35,:50%,:47%,:0.7,http://ufcstats.com/fighter-details/18e8b7070228e728
Arisa Matsuda,7-0-0,"5' 3""",115 lbs.,"64""",Orthodox,"Dec 15, 1994",:1.00,:75%,:1.87,:56%,:3.00,:42%,:0%,:1.0,http://ufcstats.com/fighter-details/4c33b3d37955aa85
Daiki Hata,17-11-7,"5' 6""",139 lbs.,--,Orthodox,"Aug 24, 1982",:1.44,:39%,:1.42,:55%,:0.67,:100%,:35%,:0.7,http://ufcstats.com/fighter-details/c76ceda100ac0fad
Mitch Ramirez,8-3-0,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 03, 1992",:3.51,:44%,:3.98,:37%,:0.59,:33%,:25%,:0.0,http://ufcstats.com/fighter-details/e99eb0ef25885de5
Roger Narvaez,8-3-0,"6' 3""",185 lbs.,--,Southpaw,"Sep 09, 1983",:2.12,:37%,:3.32,:64%,:0.00,:0%,:50%,:0.9,http://ufcstats.com/fighter-details/3a12a2f096a6d975
Drako Rodriguez,7-3-0,"5' 8""",135 lbs.,"69""",Orthodox,"Jun 16, 1996",:3.37,:36%,:4.40,:58%,:2.93,:66%,:75%,:0.7,http://ufcstats.com/fighter-details/dc3b9cf7641b7ab6
Mike Swick,15-6-0,"6' 1""",170 lbs.,"77""",Orthodox,"Jun 19, 1979",:2.36,:37%,:2.29,:54%,:1.06,:50%,:61%,:0.6,http://ufcstats.com/fighter-details/9fe85152f351e737
Ilia Topuria,17-0-0,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 21, 1997",:4.81,:48%,:3.83,:64%,:1.96,:61%,:93%,:1.1,http://ufcstats.com/fighter-details/54f64b5e283b0ce7
Takeshi Inoue,23-10-0,"5' 8""",145 lbs.,--,,"Mar 18, 1980",:2.54,:44%,:3.32,:61%,:0.00,:0%,:47%,:0.0,http://ufcstats.com/fighter-details/a61a0cd2829e5d4e
Jarno Errens,14-6-1,"5' 11""",145 lbs.,"73""",Orthodox,"Nov 17, 1994",:3.29,:44%,:3.29,:61%,:0.00,:0%,:33%,:0.3,http://ufcstats.com/fighter-details/082eba4cd80f736f
Eric Spicely,12-6-0,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",:3.71,:45%,:5.72,:55%,:1.31,:20%,:75%,:1.0,http://ufcstats.com/fighter-details/b9664eae2ac75262
